Index,FiscalYear,short_FY
1,FY 2011 - 2012,FY 11-12
2,FY 2012 - 2013,FY 12-13
3,FY 2013 - 2014,FY 13-14
4,FY 2014 - 2015,FY 14-15
5,FY 2015 - 2016,FY 15-16
6,FY 2016 - 2017,FY 16-17
7,FY 2017 - 2018,FY 17-18
8,FY 2018 - 2019,FY 18-19
9,FY 2019 - 2020,FY 19-20
10,FY 2020 - 2021,FY 20-21
11,FY 2021 - 2022,FY 21-22
12,FY 2022 - 2023,FY 22-23
13,FY 2023 - 2024,FY 23-24
14,FY 2024 - 2025,FY 24-25
15,FY 2025 - 2026,FY 25-26
16,FY 2026 - 2027,FY 26-27
17,FY 2027 - 2028,FY 27-28
18,FY 2028 - 2029,FY 28-29
19,FY 2029 - 2030,FY 29-30
20,FY 2030 - 2031,FY 30-31
